Property_ID,imp1,imp2,imp3,imp4,imp5,imp6,imp7,imp8,imp9,imp10
R330806,"1 Main Area 1993 1,163 N/A Details","2 Second Floor 1993 1,546 N/A Details",3 Open Porch 1993 32 N/A Details,4 Garage 1993 399 N/A Details,5 Open Porch 2003 294 N/A Details,6 Concrete Pool 1999 384 N/A Details,7 Fireplace 1993 1 N/A Details,8 OK - Outdoor Kitchen 2003 1 N/A Details,-,-
R359743,"1 Main Area 1996 1,792 N/A Details",2 Second Floor 1996 892 N/A Details,3 Garage 1996 420 N/A Details,4 Open Porch 1996 50 N/A Details,5 Open Porch 1996 100 N/A Details,6 Concrete Pool 2008 538 N/A Details,7 Out Bldg 2008 160 N/A Details,8 Fireplace 1996 1 N/A Details,-,-
R304451,"1 Main Area 1991 1,341 N/A Details","2 Second Floor 1991 1,386 N/A Details",3 Garage 1991 351 N/A Details,4 Open Porch 1991 20 N/A Details,5 Open Porch 2000 300 N/A Details,6 Out Bldg 1993 - N/A Details,7 Fireplace 1991 1 N/A Details,-,-,-
R311008,"1 Main Area 1991 1,085 N/A Details","2 Second Floor 1991 1,225 N/A Details",3 Garage 1991 400 N/A Details,4 Open Porch 1991 20 N/A Details,5 Open Porch 2009 561 N/A Details,6 Out Bldg 2009 - N/A Details,7 Main Area 2009 312 N/A Details,8 Fireplace 1991 1 N/A Details,-,-
R330855,"1 Main Area 1993 1,232 N/A Details","2 Second Floor 1993 1,538 N/A Details",3 Garage 1993 441 N/A Details,4 Open Porch 1993 33 N/A Details,5 Open Porch 1993 240 N/A Details,6 Patio 2011 - N/A Details,7 Out Bldg 2011 - N/A Details,8 Fireplace 1993 1 N/A Details,-,-
R334410,"1 Main Area 1994 1,222 N/A Details","2 Second Floor 1994 1,564 N/A Details",3 Garage 1994 462 N/A Details,4 Open Porch 1994 28 N/A Details,5 Open Porch 1994 45 N/A Details,6 Patio 1994 18 N/A Details,7 Concrete Pool 2009 459 N/A Details,8 Fireplace 1994 1 N/A Details,-,-
R335126,"1 Main Area 1996 1,170 N/A Details","2 Second Floor 1996 1,454 N/A Details",3 Garage 1996 596 N/A Details,4 Open Porch 1996 60 N/A Details,5 Open Porch 1996 38 N/A Details,6 NonCalcArea - '- N/A Details,7 Fireplace 1996 1 N/A Details,-,-,-
R335161,"1 Main Area 1994 1,394 N/A Details","2 Second Floor 1994 1,386 N/A Details",3 Garage 1994 399 N/A Details,4 Open Porch 1994 24 N/A Details,5 Patio 1994 134 N/A Details,6 Deck - 537 N/A Details,7 Out Bldg 1999 120 N/A Details,8 Concrete Pool 2003 399 N/A Details,9 Fireplace 1994 1 N/A Details,10 Open Porch 2021 268 N/A Details
R335165,"1 Main Area 1994 1,394 N/A Details","2 Second Floor 1994 1,386 N/A Details",3 Garage 1994 399 N/A Details,4 Open Porch 1994 24 N/A Details,5 Open Porch 1994 339 N/A Details,6 Concrete Pool 2006 349 N/A Details,7 Fireplace 1994 1 N/A Details,-,-,-
R368171,"1 Main Area 1999 1,374 N/A Details","2 Second Floor 1999 1,362 N/A Details",3 Garage 1999 415 N/A Details,4 Open Porch 1999 65 N/A Details,5 Concrete Pool 2010 620 N/A Details,6 Open Porch 2010 378 N/A Details,7 Fireplace 1999 1 N/A Details,-,-,-
R368182,"1 Main Area 1997 1,159 N/A Details","2 Second Floor 1997 1,585 N/A Details",3 Garage 1997 399 N/A Details,4 Open Porch 1997 27 N/A Details,5 Fireplace 1997 1 N/A Details,6 Open Porch 2013 360 N/A Details,7 Covered Patio 1997 100 N/A Details,-,-,-
